GEO_ID,phisp
6.083E+13,0.096153846
6.083E+13,0.75
6.083E+13,0.256756757
6.083E+13,0.333333333
6.083E+13,0.351351351
6.083E+13,0.348591549
6.083E+13,0.454545455
6.083E+13,0.361111111
6.083E+13,0.1
6.083E+13,0.711538462
6.083E+13,0.2
6.083E+13,0.294117647
6.083E+13,0.642857143
6.083E+13,0
6.083E+13,0.32195122
6.083E+13,0.361788618
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,0.666666667
6.083E+13,0.886075949
6.083E+13,0.796460177
6.083E+13,0.827160494
6.083E+13,0.570351759
6.083E+13,0.270958084
6.083E+13,0.225806452
6.083E+13,0.5
6.083E+13,0.307692308
6.083E+13,0.276595745
6.083E+13,0.483333333
6.083E+13,0.079207921
6.083E+13,0.258064516
6.083E+13,0.268656716
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,0.214285714
6.083E+13,0.058823529
6.083E+13,0.087719298
6.083E+13,0.06
6.083E+13,#DIV/0!
6.083E+13,0.279069767
6.083E+13,0.171875
6.083E+13,0.09375
6.083E+13,#DIV/0!
6.083E+13,0.170103093
6.083E+13,0.175675676
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,0.344827586
6.083E+13,0.177419355
6.083E+13,0.298360656
6.083E+13,0.176470588
6.083E+13,0
6.083E+13,0.075
6.083E+13,0
6.083E+13,0.153846154
6.083E+13,0.468319559
6.083E+13,0.071428571
6.083E+13,0.272727273
6.083E+13,0.076923077
6.083E+13,0.217391304
6.083E+13,0.285714286
6.083E+13,#DIV/0!
6.083E+13,0.448275862
6.083E+13,0.220588235
6.083E+13,0.480769231
6.083E+13,#DIV/0!
6.083E+13,0.793233083
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,#DIV/0!
6.083E+13,0.228070175
6.083E+13,0.259259259
6.083E+13,0.068965517
6.083E+13,0.205128205
6.083E+13,0.171270718
6.083E+13,0.131578947
6.083E+13,0.141304348
6.083E+13,0.057142857
6.083E+13,0.262295082
6.083E+13,0.169230769
6.083E+13,0.175925926
6.083E+13,0.666666667
6.083E+13,0.090909091
6.083E+13,0.206030151
6.083E+13,0.275862069
6.083E+13,0.058823529
6.083E+13,0.108843537
6.083E+13,0.545454545
6.083E+13,0.56
6.083E+13,0.171875
6.083E+13,0.176470588
6.083E+13,0.3
6.083E+13,0.157894737
6.083E+13,0.208955224
6.083E+13,0.179012346
6.083E+13,0.453061224
6.083E+13,0.574257426
6.083E+13,0.488372093
6.083E+13,0.521335807
6.083E+13,#DIV/0!
